Metric,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,2024-03-31,2024-06-30,2024-09-30,2024-12-31,2025-03-31,2025-06-30,2025-09-30,2025-12-31,2026-03-31
Number of Customers w/ 10+ Users,44414,47228,49936,52015,53688,55515,57203,58760,59214,60566,61803,63075,63914,65016
Number of Customers w/ >50K Annual Recurring Revenue (ARR),1474,1683,1892,2077,2295,2491,2713,2907,3201,3444,3702,3993,4281,4547
Number of Customers w/ >100K Annual Recurring Revenue (ARR),527,588,677,749,833,911,1009,1080,1207,1328,1472,1603,1756,1844
Number of Customers w/ >500K Annual Recurring Revenue (ARR),0,0,0,0,0,0,0,45,50,57,68,78,87,99
Percent of Annual Recurring Revenue (ARR) from Customers w/ 10+ Users,76,77,77,78,78,78,78,79,79,80,80,81,81,82
Percent of Annual Recurring Revenue (ARR) from Customers w/ >50K ARR,27,28,29,31,32,32,33,34,36,37,38,40,41,42
Percent of Annual Recurring Revenue (ARR) from Customers w/ >100K ARR,17,17,18,19,20,20,21,22,24,24,26,27,28,29
Percent of Annual Recurring Revenue (ARR) from Customers w/ > 500K ARR,0,0,0,0,0,0,0,4,4,5,5,6,6,6
Percent of Annual Recurring Revenue (ARR) from New Products,0,0,0,3.4,4,5,6,7,7.7,8.8,9.4,10.2,10.7,0
Total Paying Customers,186000,0,0,0,225000,0,0,0,245000,0,0,0,252000,0
Net Dollar Retention Rate (NDR) for All Customers,121,117,114,112,110,110,110,111,112,112,111,111,110,110
Net Dollar Retention Rate (NDR) for Customers w/ 10+ Users,130,125,120,117,115,114,114,114,115,115,115,115,114,114
Net Dollar Retention Rate (NDR) for >50K ARR Customers,137,129,122,118,115,114,114,115,115,116,116,117,116,116
Net Dollar Retention Rate (NDR) for >100K ARR Customers,135,126,120,116,114,113,114,115,116,117,117,117,116,115
