Metric,2024-03-31,2024-06-30,2024-09-30,2024-12-31,2025-03-31,2025-06-30,2025-09-30,2025-12-31,2026-03-31
Net product sales,151464000,148819000,223891000,191356000,146521000,153190000,230614000,194350000,149488000
Rental and royalty revenue,1711000,1917000,2043000,2016000,1934000,1898000,2091000,1926000,2053000
Total revenue,153175000,150736000,225934000,193372000,148455000,155088000,232705000,196276000,151541000
Product cost of goods sold,102732000,99732000,148266000,117326000,95500000,98127000,152741000,125759000,99722000
Rental and royalty cost,415000,529000,599000,438000,505000,478000,566000,406000,525000
Total costs,103147000,100261000,148865000,117764000,96005000,98605000,153307000,126165000,100247000
Product gross margin,48732000,49087000,75625000,74030000,51021000,55063000,77873000,68591000,49766000
Rental and royalty gross margin,1296000,1388000,1444000,1578000,1429000,1420000,1525000,1520000,1528000
Total gross margin,50028000,50475000,77069000,75608000,52450000,56483000,79398000,70111000,51294000
"Selling, marketing and administrative expenses",38918000,35040000,41825000,36892000,29390000,44362000,47031000,36720000,28081000
Earnings from operations,11110000,15435000,35244000,38716000,23060000,12121000,32367000,33391000,23213000
"Other income, net",9032000,4900000,7188000,5246000,-51000,14072000,16233000,6043000,316000
Earnings before income taxes,20142000,20335000,42432000,43962000,23009000,26193000,48600000,39434000,23529000
Provision for income taxes,4307000,4701000,9599000,21456000,4968000,8663000,12953000,10670000,5903000
Net earnings,15835000,15634000,32833000,22506000,18041000,17530000,35647000,28764000,17626000
Less: net income attributable to noncontrolling interests,1000,-6000,-11000,-3000,-17000,-14000,-12000,-27000,-35000
"Net earnings attributable to Tootsie Roll Industries, Inc.",15834000,15640000,32844000,22509000,18058000,17544000,35659000,28791000,17661000
"Net earnings attributable to Tootsie Roll Industries, Inc. per share",0.213592,0.203883,0.436893,0.300971,0.24,0.23301,0.475728,0.378641,0.24
Dividends per share,0.0873786,0.0873786,0.0873786,,0.09,0.0873786,0.0873786,,0.09
Average number of shares outstanding,75742100,75742100,75701900,75387800,75138000,75065400,75065400,75076700,75060000
